team_id,team_name,season,runs,pa,ab,h,b2,b3,hr,bb,hbp,sf,tb,rbi,avg,obp,slg
121,New York Mets,2016,671,6115,5459,1342,240,19,218,517,62,41,2274,649,0.24583257,0.316005922,0.416559809
134,Pittsburgh Pirates,2016,729,6261,5542,1426,277,32,153,561,81,36,2226,696,0.257307831,0.332475884,0.401660051
118,Kansas City Royals,2016,675,6052,5552,1450,264,33,147,382,45,34,2221,640,0.261167147,0.312156993,0.400036023
136,Seattle Mariners,2016,768,6227,5583,1446,251,17,223,506,72,41,2400,735,0.259000537,0.32634634,0.429876411
146,Miami Marlins,2014,645,6185,5538,1399,254,36,122,501,35,39,2091,614,0.252618274,0.316538524,0.377573131
138,St. Louis Cardinals,2012,765,6326,5622,1526,290,37,159,533,53,49,2367,732,0.271433654,0.337541953,0.421024546
112,Chicago Cubs,2010,685,6140,5512,1414,298,27,149,479,50,38,2213,658,0.256531205,0.319624938,0.401487663
117,Houston Astros,2014,629,6055,5447,1317,240,19,163,495,55,36,2084,596,0.241784469,0.309464611,0.382595924
133,Oakland Athletics,2012,713,6183,5527,1315,267,32,195,550,45,34,2231,676,0.237922924,0.310266407,0.403654786
119,Los Angeles Dodgers,2010,667,6140,5426,1368,270,29,120,533,46,50,2056,621,0.252119425,0.321552436,0.378916329
108,Los Angeles Angels,2011,667,6088,5513,1394,289,34,155,442,51,32,2216,629,0.252856884,0.312520702,0.401959006
116,Detroit Tigers,2014,757,6202,5630,1557,325,26,155,443,44,61,2399,731,0.276554174,0.330851408,0.426110124
109,Arizona Diamondbacks,2012,734,6150,5462,1416,307,33,165,539,41,45,2284,710,0.259245698,0.327911943,0.418161845
111,Boston Red Sox,2014,634,6226,5551,1355,282,20,123,535,68,52,2046,601,0.244100162,0.315501128,0.368582237
147,New York Yankees,2014,633,6082,5497,1349,247,26,147,452,56,47,2089,591,0.245406585,0.306840714,0.380025468
144,Atlanta Braves,2013,688,6133,5441,1354,247,21,181,542,55,35,2186,656,0.248851314,0.321258027,0.401764382
158,Milwaukee Brewers,2010,750,6304,5606,1471,293,33,182,546,81,35,2376,710,0.262397431,0.334716018,0.423831609
144,Atlanta Braves,2010,738,6252,5463,1411,312,25,139,634,51,35,2190,699,0.258282995,0.338994016,0.400878638
140,Texas Rangers,2010,787,6302,5635,1556,268,25,162,511,45,54,2360,740,0.276131322,0.338190552,0.418811003
142,Minnesota Twins,2014,715,6233,5567,1412,316,27,128,544,53,44,2166,675,0.253637507,0.323614691,0.389078498
139,Tampa Bay Rays,2011,707,6152,5436,1324,273,37,172,571,73,35,2187,674,0.243561442,0.321831562,0.402317881
139,Tampa Bay Rays,2015,644,6071,5485,1383,278,32,167,436,84,47,2226,612,0.252142206,0.314441507,0.405834093
115,Colorado Rockies,2015,737,6071,5572,1479,274,49,186,388,33,34,2409,702,0.265434314,0.31524805,0.432340273
108,Los Angeles Angels,2015,661,5990,5417,1331,243,21,176,435,58,40,2144,621,0.245707956,0.306554622,0.395791028
142,Minnesota Twins,2016,722,6245,5618,1409,288,35,200,513,44,43,2367,690,0.250800997,0.316178836,0.421324315
115,Colorado Rockies,2016,845,6236,5614,1544,318,47,204,494,40,34,2568,805,0.275026719,0.336137172,0.457427859
147,New York Yankees,2016,680,6058,5458,1378,245,20,183,475,42,49,2212,647,0.252473433,0.314575033,0.405276658
114,Cleveland Indians,2016,777,6155,5484,1435,308,29,185,531,49,60,2356,733,0.261670314,0.329033312,0.429613421
110,Baltimore Orioles,2016,744,6089,5524,1413,265,6,253,468,44,36,2449,710,0.255792904,0.317028986,0.443338161
145,Chicago White Sox,2016,686,6131,5550,1428,277,33,168,455,53,44,2275,656,0.257297297,0.317273025,0.40990991
137,San Francisco Giants,2011,570,6091,5486,1327,282,24,121,448,52,43,2020,534,0.241888443,0.303035329,0.368209989
