season,home_team,league,event_type,game_id,event_id,balls,strikes,outs,runner_1b,runner_2b,runner_3b,post_outs,post_runner_1b,post_runner_2b,post_runner_3b,is_pa,event_runs,is_sb,is_cs
2016,ATL,NL,Stolen Base 2B,448854,163,0,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,ATL,NL,Field Out,448854,179,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,ATL,NL,Walk,448854,551,3,2,2,1,1,0,2,1,1,1,1,0,0,0
2016,ATL,NL,Field Out,448854,563,3,2,2,1,1,1,3,0,0,0,1,0,0,0
2016,PHI,NL,Strikeout,448859,142,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,PHI,NL,Strikeout,448859,274,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,NYM,NL,Stolen Base 2B,448861,69,1,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,NYM,NL,Walk,448861,132,3,2,2,1,1,0,2,1,1,1,1,0,0,0
2016,NYM,NL,Stolen Base 2B,448861,309,1,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,ATL,NL,Field Out,448862,169,1,2,1,1,0,0,2,1,0,0,1,0,0,0
2016,CHC,NL,Walk,448863,456,3,2,0,1,0,0,0,1,1,0,1,0,0,0
2016,CHC,NL,Stolen Base 3B,448863,476,1,1,1,1,1,0,1,1,0,1,0,0,1,0
2016,COL,NL,Stolen Base 2B,448864,30,0,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,COL,NL,Stolen Base 3B,448864,247,0,0,2,0,1,0,2,0,0,1,0,0,1,0
2016,COL,NL,Fielders Choice Out,448864,372,1,2,0,1,0,1,1,1,1,0,1,0,0,0
2016,COL,NL,Stolen Base 2B,448864,612,0,0,2,1,0,0,2,0,0,1,0,0,1,0
2016,COL,NL,Stolen Base 3B,448864,640,3,1,2,1,1,0,2,1,0,1,0,0,1,0
2016,COL,NL,Walk,448864,644,3,2,2,1,0,1,2,1,1,0,1,1,0,0
2016,PHI,NL,Field Out,448865,71,3,2,0,1,0,0,1,0,1,0,1,0,0,0
2016,PHI,NL,Walk,448865,314,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,PHI,NL,Strikeout - DP,448865,500,3,2,0,1,0,0,2,0,0,0,1,0,0,1
2016,PHI,NL,Stolen Base 2B,448865,515,1,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,PHI,NL,Strikeout,448865,577,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,PIT,NL,Picked off stealing 2B,448872,73,1,0,2,1,0,0,3,0,0,0,0,0,0,1
2016,PIT,NL,Caught Stealing 2B,448872,88,1,1,0,1,0,0,1,0,0,0,0,0,0,1
2016,PIT,NL,Field Out,448872,304,0,0,0,1,0,0,1,0,1,0,1,0,0,0
2016,PIT,NL,Stolen Base 2B,448872,376,0,2,0,1,0,0,0,0,1,0,0,0,1,0
2016,PIT,NL,Picked off stealing 2B,448872,427,1,0,2,1,0,0,3,0,0,0,0,0,0,1
2016,PIT,NL,Stolen Base 2B,448872,467,2,2,2,1,0,0,2,0,1,0,0,0,1,0
2016,PIT,NL,Stolen Base 2B,448872,545,1,0,2,1,0,1,2,0,1,1,0,0,1,0
2016,LAD,NL,Stolen Base 2B,448874,27,0,1,2,1,0,0,2,0,0,1,0,0,1,0
2016,LAD,NL,Stolen Base 2B,448874,41,1,2,2,1,0,1,2,0,1,1,0,0,1,0
2016,LAD,NL,Walk,448874,109,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,LAD,NL,Walk,448874,568,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,LAD,NL,Single,448874,583,3,2,2,1,1,0,2,1,0,1,1,1,0,0
2016,LAD,NL,Field Out,448874,595,0,2,2,1,0,1,3,0,0,0,1,0,0,0
2016,CIN,NL,Strikeout,448876,39,1,2,0,0,1,0,1,0,0,1,1,0,1,0
2016,CIN,NL,Stolen Base 2B,448876,181,2,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,CIN,NL,Caught Stealing 2B,448876,231,1,0,1,1,0,0,2,0,0,0,0,0,0,1
2016,CIN,NL,Stolen Base 2B,448876,443,3,0,1,1,0,1,1,0,1,1,0,0,1,0
